,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
D1900V4_2,D,1900,V,24.96,20,0,40,40,0,0,0,0,22.36,0.01,1922.049561,7,7,September,0,3,5,2,3.81,NA,NA,NA,NA,NA,NA,mixed,46.80148574,9.903739225,14416
D1950B1_1,D,1950,B,1.04,0,0,40,35,25,0,0,0,13.36,0.016,1985.816406,0.5,0.5,May,0,0,5,5,3.94,4.580322266,68.5,-11,9.805921687,164.5,127.5,mixed,46.80197784,9.904834358,9013
D1950B1_2,D,1950,B,1.04,0,0,40,35,25,0,0,0,13.36,0.016,1985.816406,0.5,0.5,September,0,1,5,4,4.24,4.580322266,68.5,-11,9.805921687,164.5,127.5,mixed,46.80202,9.90466,9697
D1950B2_1,D,1950,B,0,0,65,15,0,0,20,0,0,1.7,0,1990.706299,0.5,0.5,May,0,0,5,5,3.84,NA,NA,NA,NA,NA,NA,mixed,46.80199724,9.90478609,8370
D1950B2_2,D,1950,B,0,0,65,15,0,0,20,0,0,1.7,0,1990.706299,0.5,0.5,September,0,0,5,5,4.9,NA,NA,NA,NA,NA,NA,mixed,46.80204,9.9048,10565
D1950B3_1,D,1950,B,0,0,60,0,0,0,40,0,0,0.14,0,1990.241821,0.5,0.5,May,0,0,5,5,4.07,3.719238281,46,-12.5,7.278450973,141.1666667,139.8333333,mixed,46.80202266,9.904764868,19892
D1950B3_2,D,1950,B,0,0,60,0,0,0,40,0,0,0.14,0,1990.241821,0.5,0.5,September,0,0,5,5,5.52,3.719238281,46,-12.5,7.278450973,141.1666667,139.8333333,mixed,46.80202948,9.904711186,22978
D1950B4_1,D,1950,B,0,0,65,5,0,0,30,0,0,1.72,0,1988.119995,0.5,0.5,May,0,0,5,5,3.58,NA,NA,NA,NA,NA,NA,mixed,46.80202,9.90473,5528
D1950B4_2,D,1950,B,0,0,65,5,0,0,30,0,0,1.72,0,1988.119995,0.5,0.5,September,0,0,4,5,4.41,NA,NA,NA,NA,NA,NA,mixed,46.80203,9.9048,15059
D1950V1_1,D,1950,V,16.64,20,0,20,60,0,0,0,0,23.54,0.02,1986.093994,9,9,May,0,0,5,5,3.49,4.680175781,23,-0.5,5.109643704,134.3333333,139.3333333,mixed,46.8023459,9.905412046,5459
D1950V1_2,D,1950,V,16.64,20,0,20,60,0,0,0,0,23.54,0.02,1986.093994,9,9,September,0,0,5,5,4.33,4.680175781,23,-0.5,5.109643704,134.3333333,139.3333333,mixed,46.80229849,9.905470689,14391
D1950V2_1,D,1950,V,2.08,10,0,70,10,0,0,0,10,29.22,0.026,1987.58252,6,6,May,0,0,5,5,3.69,4.572998047,24,-1,5.371214453,156.8333333,131.1666667,mixed,46.80243723,9.905394918,3308
D1950V2_2,D,1950,V,2.08,10,0,70,10,0,0,0,10,29.22,0.026,1987.58252,6,6,September,1,2,4,3,4.36,4.572998047,24,-1,5.371214453,156.8333333,131.1666667,mixed,46.80244451,9.905519089,18472
D1950V3_1,D,1950,V,2.08,10,0,20,70,0,0,0,0,45.3,0.012,1986.937988,6,6,May,0,0,5,5,4.05,4.067626953,21,-1,4.943149378,150.6666667,133.5,mixed,46.80232617,9.90542197,4230
